"Organization - ID","Organization - Name","Organization - Labels","Organization - Open deals","Organization - Activities to do","Organization - Industry","Organization - Odoo Status","Organization - Website ","Organization - Website","Organization - Address","Organization - Region of Address","Organization - State/county of Address","Organization - Owner","Organization - People"
"1","A2C Services Ltd","","0","1","ITAD","","","","Portsmouth","Rockingham County","New Hampshire","Daniel Ainsworth","1"
"2","Absolute IT Asset Disposals Ltd","Prospect","0","1","ITAD","","http://www.absoluteitad.com/","","","","","Daniel Ainsworth","3"
"5","Al-Ahmed Enterprises Limited","","0","0","ITAD","","","","Manchester","Greater Manchester","England","Daniel Ainsworth","0"
"6","AMJ IT Support","Prospect","0","0","IT Service Provider","","https://www.amj-uk.com/","","","","","Daniel Ainsworth","1"
"7","Apex Evolution Ltd","Dissolved","0","0","ITAD","","","","Colchester","Essex","England","Daniel Ainsworth","3"
"8","Aptum","Prospect","0","0","Data Centre","","https://aptum.com/","","","","","Daniel Ainsworth","2"
"9","ASM Technologies","Warm lead","0","0","ITAD","","https://asmtech.com/what-we-do/vendor-directory/","","Winsford","Cheshire West and Chester","England","Daniel Ainsworth","2"
"10","Asset Remarketing Services LTD","Warm lead","0","0","ITAD","","","","Manchester","Greater Manchester","England","Daniel Ainsworth","1"
"11","Athena Vaults","Incorrect Profile","0","0","","","","","","","","Daniel Ainsworth","1"
"12","bak2 Group LTD","Prospect","0","0","ITAD","SLM","http://www.bak2.com","","Essex","Essex","England","Daniel Ainsworth","1"
"13","Base IT","Prospect","0","1","Broker","","https://www.baseitltd.com/","","13 Rockhaven Park, Kembrey St., Swindon, Wiltshire SN2 8BB","Swindon","England","Lasse Schriver Nielsen","3"
"14","Belvedere Group Limited","Customer","0","1","ITAD","","https://belvedereit.com/","","Bromsgrove","Worcestershire","England","Daniel Ainsworth","1"
"15","Blackmore Ricotech","Customer","1","0","ITAD","","","","","","","Daniel Ainsworth","7"
"16","BPR Group Europe Ltd","Warm lead","0","0","ITAD","SLM","","","Essex","Essex","England","Daniel Ainsworth","2"
